INFO  - 2014-01-23 20:55:57.373; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-01-23 20:55:57.373; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-01-23 20:55:57.374; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2014-01-23 20:55:57.376; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-01-23 20:55:57.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-01-23 20:55:57.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-01-23 20:55:57.379; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-01-23 20:55:57.380; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-01-23 20:55:57.381; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-01-23 20:55:57.382; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
